sku,descripcion,categoria,familia,bidfood,central mayorista,interno,jumbo,otros,min_ext,max_ext,fuente_min,fuente_max,gap_min_pct,gap_max_pct
104515110,"POROTO VERDE C/FRANC IQF ARDO 2,5 kg",FRUTAS Y VERDURAS CONGELADAS,VERDURAS,,1798.3193277310925,2150.0,,,1798.3193277310925,1798.3193277310925,central mayorista,central mayorista,-0.16357240570646858,-0.16357240570646858
104515390,CORDERO GARRON DELANTERO,CORDERO,PORCIONADOS,,,12300.0,,,,,,,,
104515400,CORDERO GARRON TRASERO,CORDERO,PORCIONADOS,,,13400.0,,20059.63675792898,20059.63675792898,20059.63675792898,otros,otros,0.49698781775589396,0.49698781775589396
104515580,CROISSANT PLUS 100 g,BOLLERIA,BOLLERIA PARA HORNEAR,,,5714.285714285714,,,,,,,,
104515840,LECHE EN POLVO VENDING FAS 500 g,CAFE Y DERIVADOS,INSUMOS VENDING,,,12000.0,,,,,,,,
104516010,ACEITUNA NEGRA RODAJA 936 g,ACEITUNAS Y ENCURTIDOS,ACEITUNAS,,2439.775910364146,5384.615384615385,9747.899159663866,,2439.775910364146,9747.899159663866,central mayorista,jumbo,-0.5468987595038015,0.8103241296518608
104516280,VAINILLA EN POLVO VENDING FAS 1 kg,CAFE Y DERIVADOS,INSUMOS VENDING,,,14000.0,,,,,,,,
104517000,"HELADO VAINILLA COPPELIA 4,5 l",BOLLERIA,HELADOS,,2033.6134453781513,6111.11111111111,,,2033.6134453781513,2033.6134453781513,central mayorista,central mayorista,-0.6672268907563025,-0.6672268907563025
104517100,"HELADO CHOCOLATE COPPELIA 4,5 l",BOLLERIA,HELADOS,,,6111.11111111111,,,,,,,,
104517140,"HELADO FRUTILLA COPPELIA 4,5 l",BOLLERIA,HELADOS,,,6111.11111111111,,,,,,,,
104517170,NUTELLA BALDE 3 kg,BOLLERIA,INGREDIENTES REPOSTERIA,,17947.17887154862,11000.0,,10616.246498599441,10616.246498599441,17947.17887154862,otros,central mayorista,-0.03488668194550537,0.631561715595329
104518190,TAZA Y PLATO AMERICANO PREMIUM LAVAZZA,CAFE Y DERIVADOS,ACCESORIOS,,,14761.904761904761,,,,,,,,
104518330,WAFFLE BERLYS 90 g,BOLLERIA,BOLLERÃA LISTA PARA COMER,,,9962.962962962962,,13232.181761593527,13232.181761593527,13232.181761593527,otros,otros,0.32813720283652525,0.32813720283652525
104518690,PUNTA PALETA CERTIFIED ANGUS BEEF,VACUNO CONGELADO,CARNES CERTIFICADAS,,,15500.0,,,,,,,,
104518830,TOMAHAWK CERTIFIED ANGUS BEEF,VACUNO CONGELADO,CARNES CERTIFICADAS,,,37000.0,,,,,,,,
104518870,TILAPIA FILETE S/P 1kg 140-200g IMPORTAD,PESCADOS Y MARISCOS,PESCADOS,,,5990.0,,,,,,,,
104518880,PANGASIUS FILETE S/P 1kg 170-220g IMPORT,PESCADOS Y MARISCOS,PESCADOS,,,3198.0,,,,,,,,
104518890,SURTIDO MARISCOS SILVER  1kg IMPORTADO,PESCADOS Y MARISCOS,MARISCOS Y MOLUSCOS,,,3298.0,,,,,,,,
104518900,REINETA FILETE S/P S/E 1kg 200-400 g IMP,PESCADOS Y MARISCOS,PESCADOS,,,6990.0,,,,,,,,
104518910,PULPA JUGO FRUTILLA C/AZUCAR 1 kg,FRUTAS Y VERDURAS CONGELADAS,JUGOS Y PULPAS,,,3400.0,,,,,,,,
104518920,MERLUZA C/P S/E  1 kg 170-220g IMPORTADA,PESCADOS Y MARISCOS,PESCADOS,,,4590.0,,,,,,,,
104518970,PULPA JUGO MANGO C/AZUCAR 1 kg,FRUTAS Y VERDURAS CONGELADAS,JUGOS Y PULPAS,,,4590.0,,,,,,,,
104518980,SURTIDO MARISCOS GOLD  1kg IMPORTADO,PESCADOS Y MARISCOS,MARISCOS Y MOLUSCOS,,,3790.0,,4529.411764705883,4529.411764705883,4529.411764705883,otros,otros,0.19509545242899295,0.19509545242899295
104518990,ANILLOS CALAMAR IQF 1kg IMPORTADO,PESCADOS Y MARISCOS,DESCONTINUADOS,,,6600.0,,,,,,,,
104519090,"QUESO REGGIANITO LA PAULINA 7,5 kg",LACTEOS,QUESOS,,14705.882352941177,9900.0,,16806.722689075632,14705.882352941177,16806.722689075632,central mayorista,otros,0.48544266191325014,0.697648756472286
104519180,TRUTRO ENTERO INTERFOLIADO BRASIL 15 kg,POLLO,DESCONTINUADOS,2190.0,,3300.0,,,2190.0,2190.0,bidfood,bidfood,-0.3363636363636363,-0.3363636363636363
104519250,ACEITE VEGETAL LOS SILOS 900 ml,ACEITES Y VINAGRES,ACEITES VEGETALES,,,,,1373.482726423903,1373.482726423903,1373.482726423903,otros,otros,,
104519290,CAMARON CRUDO PELADO DESVENADO 36/40 1KG,PESCADOS Y MARISCOS,CAMARONES,,,7990.0,,9235.29411764706,9235.29411764706,9235.29411764706,otros,otros,0.15585658543767944,0.15585658543767944
104519510,PULPA JUGO LIMON S/AZUCAR 1 kg,FRUTAS Y VERDURAS CONGELADAS,JUGOS Y PULPAS,,,4200.0,,,,,,,,
104519650,CHOCLO GRANO IQF ARDO 1 kg,FRUTAS Y VERDURAS CONGELADAS,VERDURAS,,3189.915966386555,2550.0,2848.7394957983192,,2848.7394957983192,3189.915966386555,jumbo,central mayorista,0.11715274345032123,0.2509474377986489
104519700,HABAS FINAS IQF ARDO 1 kg,FRUTAS Y VERDURAS CONGELADAS,VERDURAS,,,3080.0,,3857.1428571428573,3857.1428571428573,3857.1428571428573,otros,otros,0.25231910946196656,0.25231910946196656
104519800,LECHE DESCREMADA COLUN 1 l,LACTEOS,LECHES,1198.0,,1491.6666666666667,,1168.0672268907563,1168.0672268907563,1198.0,otros,bidfood,-0.21693817191681153,-0.19687150837988832
104519840,CARNE MOLIDA 6% MG 1 KG,ELABORADOS CARNICOS CONGELADOS,ELABORADOS,,,6690.0,,,,,,,,
104519860,SALMON AHUMADO LAMINADO 500g cong,PESCADOS Y MARISCOS,PESCADOS,,,21580.0,5529.411764705883,26890.75630252101,5529.411764705883,26890.75630252101,jumbo,otros,-0.743771465954315,0.24609621420393935
